,BERT,FT GoEmo(A),FT GoEmo(E),FT GoEmo(S),FT GoEmo(FSJ),AltMulti GoEmo(A),AltMulti GoEmo(E),AltMulti GoEmo(S),AltMulti GoEmo(FSJ),AltMulti (Vent),Multi (GoEmo S),Multi (GoEmo FSJ)
Function Words,0.357116855,0.37641063,0.366581726,0.34728795,0.356752821,0.37022206,0.356388788,0.352020386,0.365489625,0.369858027,0.373862395,0.380779032
Pronouns,0.098732232,0.115635805,0.115635805,0.108336535,0.10026892,0.093353823,0.103726469,0.101805609,0.091817134,0.096043027,0.094122167,0.107568191
Personal Pronouns,0.065934066,0.07227388,0.072696534,0.073541843,0.061284869,0.060862215,0.06339814,0.065088757,0.058748943,0.057480981,0.057480981,0.065511412
First Person Singular,0.052573932,0.050383352,0.053121577,0.055859803,0.036144578,0.039978094,0.043263965,0.043263965,0.038882804,0.032311062,0.035049288,0.037787514
First Person Plural,0.02238806,0.089552239,0.097014925,0.074626866,0.044776119,0.126865672,0.097014925,0.067164179,0.074626866,0.059701493,0.082089552,0.119402985
Second Person,0.08125,0.05,0.04375,0.08125,0.11875,0.08125,0.025,0.08125,0.04375,0.1,0.10625,0.09375
Third Person Singular,0.049122807,0.063157895,0.056140351,0.059649123,0.063157895,0.050877193,0.063157895,0.066666667,0.057894737,0.052631579,0.049122807,0.057894737
Third Person Plural,0.071895425,0.111111111,0.117647059,0.078431373,0.071895425,0.058823529,0.098039216,0.078431373,0.08496732,0.065359477,0.08496732,0.104575163
Impersonal Pronouns,0.083133493,0.103117506,0.104716227,0.091127098,0.095123901,0.076738609,0.097521982,0.092725819,0.081534772,0.087929656,0.087929656,0.101518785
Articles,0.052772809,0.058139535,0.051878354,0.056350626,0.057245081,0.058139535,0.0509839,0.051878354,0.050089445,0.061717352,0.057245081,0.068872987
Prepositions,0.103550296,0.120033812,0.105240913,0.095519865,0.10101437,0.11580727,0.103127642,0.099323753,0.114539307,0.119611158,0.114961961,0.111580727
Auxiliary Verbs,0.104356636,0.092198582,0.095238095,0.088145897,0.103343465,0.096251266,0.10739615,0.097264438,0.102330294,0.093211753,0.096251266,0.103343465
Common Adverbs,0.113448535,0.092411721,0.104432757,0.096919609,0.113448535,0.105935387,0.09391435,0.108189331,0.111194591,0.108189331,0.118707739,0.111945905
Conjunctions,0.077351485,0.07240099,0.071782178,0.073638614,0.079826733,0.081064356,0.071163366,0.076113861,0.068069307,0.087252475,0.079207921,0.081683168
Negations,0.133561644,0.102739726,0.140410959,0.160958904,0.157534247,0.150684932,0.191780822,0.085616438,0.198630137,0.106164384,0.178082192,0.164383562
Common Verbs,0.186099506,0.184960122,0.210406381,0.186859096,0.19331561,0.21116597,0.192935815,0.193695404,0.197113559,0.199772123,0.210406381,0.199772123
Common Adjectives,0.181724846,0.165297741,0.162217659,0.185831622,0.196098563,0.154004107,0.176591376,0.17761807,0.186858316,0.168377823,0.130390144,0.158110883
Comparisons,0.126094571,0.126094571,0.101576182,0.119089317,0.12084063,0.113835377,0.105078809,0.117338004,0.124343257,0.126094571,0.103327496,0.124343257
Interrogatives,0.105670103,0.090206186,0.12628866,0.105670103,0.074742268,0.108247423,0.077319588,0.118556701,0.077319588,0.090206186,0.072164948,0.100515464
Numbers,0.135483871,0.141935484,0.070967742,0.064516129,0.135483871,0.077419355,0.096774194,0.122580645,0.135483871,0.148387097,0.109677419,0.116129032
Quantifiers,0.076620825,0.123772102,0.106090373,0.104125737,0.100196464,0.084479371,0.090373281,0.147347741,0.096267191,0.141453831,0.119842829,0.143418468
Affective Processes,0.193649141,0.182717335,0.207704321,0.22644456,0.222280062,0.188964081,0.215512754,0.216553878,0.21707444,0.190005206,0.157730349,0.155127538
Positive Emotion,0.079242637,0.098176718,0.09256662,0.109396914,0.115007013,0.108695652,0.099579243,0.107293128,0.103786816,0.09256662,0.093267882,0.086956522
Negative Emotion,0.372578241,0.298062593,0.388971684,0.400894188,0.384500745,0.295081967,0.390461997,0.383010432,0.383010432,0.332339791,0.247391952,0.253353204
Anxiety,0.486486486,0.310810811,0.493243243,0.47972973,0.493243243,0.310810811,0.412162162,0.445945946,0.425675676,0.385135135,0.256756757,0.304054054
Anger,0.31277533,0.303964758,0.348017621,0.370044053,0.308370044,0.295154185,0.400881057,0.378854626,0.321585903,0.295154185,0.246696035,0.246696035
Sadness,0.422413793,0.301724138,0.396551724,0.422413793,0.413793103,0.336206897,0.396551724,0.431034483,0.50862069,0.344827586,0.267241379,0.275862069
Social Processes,0.116484659,0.131565263,0.121164847,0.115444618,0.121684867,0.121684867,0.124804992,0.131045242,0.118564743,0.123764951,0.123764951,0.13624545
Family,0.130434783,0.118012422,0.111801242,0.093167702,0.099378882,0.124223602,0.093167702,0.124223602,0.093167702,0.155279503,0.099378882,0.149068323
Friends,0.142857143,0.111111111,0.142857143,0.071428571,0.095238095,0.126984127,0.150793651,0.142857143,0.095238095,0.111111111,0.119047619,0.063492063
Female References,0.070987654,0.055555556,0.064814815,0.061728395,0.061728395,0.074074074,0.083333333,0.077160494,0.058641975,0.086419753,0.064814815,0.067901235
Male References,0.079625293,0.093676815,0.067915691,0.06088993,0.067915691,0.06088993,0.06557377,0.084309133,0.077283372,0.06557377,0.077283372,0.067915691
Cognitive Processes,0.160167715,0.160167715,0.170649895,0.166037736,0.16687631,0.15932914,0.167295597,0.167714885,0.164779874,0.170649895,0.176519916,0.173165618
Insight,0.165925926,0.143703704,0.143703704,0.148148148,0.131851852,0.139259259,0.133333333,0.142222222,0.121481481,0.13037037,0.131851852,0.128888889
Causation,0.11627907,0.098191214,0.131782946,0.11627907,0.098191214,0.121447028,0.098191214,0.121447028,0.087855297,0.087855297,0.136950904,0.131782946
Discrepancy,0.119496855,0.100628931,0.142557652,0.119496855,0.1278826,0.123689727,0.111111111,0.115303983,0.121593291,0.13836478,0.100628931,0.142557652
Tentative,0.084761905,0.115238095,0.106666667,0.08952381,0.111428571,0.097142857,0.101904762,0.11047619,0.122857143,0.11047619,0.104761905,0.105714286
Certainty,0.083550914,0.107049608,0.104438642,0.146214099,0.107049608,0.104438642,0.130548303,0.11227154,0.117493473,0.120104439,0.148825065,0.156657963
Differentiation,0.0968523,0.102905569,0.088377724,0.093220339,0.111380145,0.090799031,0.104116223,0.089588378,0.112590799,0.119854722,0.119854722,0.100484262
Perceptual Processes,0.169892473,0.15483871,0.15483871,0.16344086,0.146236559,0.15483871,0.150537634,0.167741935,0.161290323,0.141935484,0.152688172,0.144086022
See,0.099273608,0.094430993,0.089588378,0.05811138,0.070217918,0.053268765,0.05811138,0.082324455,0.082324455,0.05811138,0.079903148,0.094430993
Hear,0.147286822,0.124031008,0.139534884,0.11627907,0.131782946,0.19379845,0.139534884,0.147286822,0.162790698,0.170542636,0.178294574,0.100775194
Feel,0.189189189,0.175675676,0.189189189,0.220720721,0.175675676,0.171171171,0.171171171,0.175675676,0.153153153,0.153153153,0.13963964,0.144144144
Biological Processes,0.148423006,0.161410019,0.161410019,0.170686456,0.172541744,0.181818182,0.189239332,0.192949907,0.161410019,0.168831169,0.153988868,0.159554731
Body,0.159235669,0.171974522,0.159235669,0.178343949,0.152866242,0.178343949,0.178343949,0.229299363,0.101910828,0.133757962,0.165605096,0.171974522
Health,0.151020408,0.159183673,0.146938776,0.151020408,0.171428571,0.151020408,0.187755102,0.151020408,0.179591837,0.159183673,0.167346939,0.146938776
Sexual,0.178571429,0.25,0.25,0.267857143,0.267857143,0.25,0.303571429,0.357142857,0.214285714,0.285714286,0.125,0.178571429
Ingestion,0.134146341,0.158536585,0.182926829,0.146341463,0.170731707,0.219512195,0.146341463,0.12195122,0.195121951,0.207317073,0.158536585,0.182926829
Drives,0.148538012,0.160233918,0.144444444,0.160818713,0.14619883,0.149707602,0.161403509,0.161988304,0.156140351,0.157894737,0.133918129,0.145614035
Affiliation,0.095726496,0.117948718,0.100854701,0.102564103,0.097435897,0.124786325,0.116239316,0.128205128,0.095726496,0.109401709,0.092307692,0.147008547
Achievement,0.169329073,0.17571885,0.134185304,0.188498403,0.169329073,0.150159744,0.188498403,0.172523962,0.188498403,0.191693291,0.143769968,0.134185304
Power,0.153321976,0.172061329,0.141396934,0.158432709,0.141396934,0.161839864,0.141396934,0.161839864,0.163543441,0.155025554,0.136286201,0.141396934
Reward,0.102649007,0.142384106,0.122516556,0.139072848,0.119205298,0.119205298,0.158940397,0.149006623,0.165562914,0.132450331,0.135761589,0.119205298
Risk,0.352941176,0.261437908,0.326797386,0.333333333,0.326797386,0.189542484,0.333333333,0.274509804,0.31372549,0.281045752,0.235294118,0.169934641
Past Focus,0.112309075,0.116801438,0.121293801,0.100628931,0.11410602,0.126684636,0.123090746,0.14195867,0.122192273,0.139263252,0.13836478,0.11769991
Present Focus,0.133064516,0.126344086,0.147401434,0.137992832,0.134856631,0.146505376,0.133064516,0.123207885,0.134856631,0.133064516,0.14874552,0.140232975
Future Focus,0.11627907,0.132890365,0.149501661,0.079734219,0.109634551,0.109634551,0.089700997,0.099667774,0.11627907,0.132890365,0.122923588,0.109634551
Relativity,0.147147147,0.162162162,0.143715144,0.142428142,0.165594166,0.156156156,0.141141141,0.148863149,0.161733162,0.16988417,0.154440154,0.162591163
Motion,0.11011236,0.137078652,0.128089888,0.078651685,0.137078652,0.125842697,0.114606742,0.123595506,0.13258427,0.150561798,0.125842697,0.134831461
Space,0.105531295,0.123726346,0.105531295,0.107714702,0.108442504,0.117176128,0.098253275,0.11426492,0.131732169,0.128093159,0.114992722,0.098253275
Time,0.113490364,0.109921485,0.103497502,0.109921485,0.130620985,0.112062812,0.112776588,0.107780157,0.109921485,0.12276945,0.115631692,0.141327623
Work,0.112311015,0.151187905,0.097192225,0.13174946,0.112311015,0.138228942,0.090712743,0.136069114,0.129589633,0.112311015,0.140388769,0.120950324
Leisure,0.134831461,0.134831461,0.146067416,0.112359551,0.151685393,0.168539326,0.134831461,0.129213483,0.129213483,0.185393258,0.101123596,0.191011236
Home,0.167883212,0.138686131,0.124087591,0.138686131,0.160583942,0.160583942,0.102189781,0.109489051,0.094890511,0.131386861,0.116788321,0.160583942
Money,0.119170984,0.160621762,0.10880829,0.150259067,0.139896373,0.10880829,0.093264249,0.134715026,0.134715026,0.165803109,0.10880829,0.129533679
Religion,0.172413793,0.103448276,0.24137931,0.24137931,0.172413793,0.103448276,0.206896552,0.379310345,0.275862069,0.137931034,0.172413793,0.24137931
Death,0.233333333,0.2,0.366666667,0.4,0.266666667,0.266666667,0.366666667,0.3,0.266666667,0.333333333,0.2,0.233333333
Informal Language,0.206703911,0.167597765,0.240223464,0.279329609,0.184357542,0.17877095,0.245810056,0.30726257,0.206703911,0.156424581,0.156424581,0.150837989
Swear Words,0.4375,0.265625,0.46875,0.53125,0.375,0.359375,0.578125,0.625,0.3125,0.296875,0.203125,0.28125
Netspeak,0.025,0.1,0.075,0.075,0.025,0.125,0.025,0.075,0.175,0.025,0.025,0.125
